,0
813,2
814,1
815,1
816,1
817,1
818,2
819,1
820,1
821,1
822,1
823,2
824,1
825,1
826,2
827,1
828,1
829,2
830,4
831,4
832,1
833,1
834,1
835,2
836,1
837,1
838,1
839,2
840,1
841,2
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,2
853,1
854,1
855,1
856,1
857,1
858,3
859,5
860,2
861,2
862,1
863,1
864,1
865,2
866,1
867,2
868,1
869,1
870,1
871,1
872,1
873,1
874,2
875,2
876,1
877,1
878,1
879,1
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,2
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,2
903,1
904,2
905,2
906,2
907,2
908,2
909,2
910,2
911,1
912,2
913,1
914,1
915,1
916,1
917,1
918,1
919,2
920,1
921,1
922,4
923,1
924,1
925,2
926,1
927,2
928,2
929,1
930,1
931,2
932,4
933,1
934,1
935,1
936,1
937,1
938,1
939,1
940,1
941,1
942,2
943,1
944,1
945,1
946,4
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,1
955,1
956,1
957,1
958,1
959,1
960,1
961,1
962,4
963,2
964,1
965,1
966,1
967,1
968,1
969,2
970,1
971,1
972,2
973,1
974,6
975,1
976,1
977,1
978,1
979,2
980,1
981,1
982,1
983,1
984,1
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,1
1002,1
1003,1
1004,1
1005,1
1006,3
1007,1
1008,1
1009,1
1010,2
1011,1
1012,1
1013,1
1014,1
1015,2
1016,2
1017,1
1018,2
1019,3
1020,1
1021,2
1022,1
1023,2
1024,2
1025,1
1026,2
1027,2
1028,2
1029,2
1030,2
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,2
1038,1
1039,1
1040,2
1041,2
1042,1
1043,1
1044,1
1045,1
1046,1
1047,2
1048,4
1049,1
1050,1
1051,1
1052,1
1053,1
1054,4
1055,1
1056,1
1057,2
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,2
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,1
1074,2
1075,1
1076,1
1077,2
1078,2
1079,1
1080,1
1081,1
1082,1
1083,1
1084,1
1085,2
1086,1
1087,1
1088,1
1089,1
1090,1
1091,1
1092,2
1093,2
1094,1
1095,1
1096,1
1097,2
1098,1
1099,1
1100,6
1101,1
1102,2
1103,1
1104,1
1105,1
1106,1
1107,1
1108,1
1109,1
1110,2
1111,2
1112,2
1113,2
1114,1
1115,1
1116,1
1117,2
1118,2
1119,2
1120,2
1121,2
1122,1
1123,1
1124,1
1125,2
1126,1
1127,1
1128,2
1129,1
1130,2
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,6
1141,1
1142,1
1143,2
1144,2
1145,2
1146,2
1147,2
1148,1
1149,1
1150,2
1151,1
1152,1
1153,3
1154,3
1155,1
1156,2
1157,2
1158,4
1159,2
1160,1
1161,2
1162,2
1163,1
1164,1
1165,1
1166,1
1167,1
1168,1
1169,1
1170,4
1171,1
1172,1
1173,2
1174,2
1175,1
1176,1
1177,1
1178,1
1179,1
1180,4
1181,1
1182,1
1183,1
1184,2
1185,3
1186,3
1187,1
1188,1
1189,1
1190,1
1191,1
1192,1
1193,2
1194,1
1195,2
1196,2
1197,4
1198,2
1199,2
1200,2
1201,2
1202,1
1203,2
1204,1
1205,1
1206,4
1207,1
1208,2
1209,4
1210,4
1211,1
1212,1
1213,1
1214,1
1215,1
1216,1
1217,1
1218,1
1219,1
1220,1
1221,3
1222,1
1223,1
1224,1
1225,1
1226,2
1227,1
1228,1
1229,2
1230,1
1231,1
1232,2
1233,1
1234,1
1235,2
1236,2
1237,2
1238,1
1239,1
1240,1
1241,4
1242,1
1243,2
1244,4
1245,1
1246,2
1247,2
1248,1
1249,1
1250,2
1251,1
1252,1
1253,1
1254,1
1255,1
1256,1
1257,1
1258,1
1259,2
1260,1
1261,1
1262,2
1263,2
1264,6
1265,1
1266,1
1267,2
1268,2
1269,2
1270,1
1271,1
1272,5
1273,1
1274,2
1275,1
1276,1
1277,1
1278,3
1279,2
1280,1
1281,1
1282,1
1283,2
1284,1
1285,1
1286,2
1287,2
1288,1
1289,1
1290,1
1291,1
1292,2
1293,1
1294,2
1295,1
1296,4
1297,1
1298,4
1299,1
1300,1
1301,1
1302,1
1303,2
1304,3
1305,1
1306,1
1307,1
1308,1
1309,1
1310,1
1311,1
1312,1
1313,2
1314,2
1315,1
1316,1
1317,1
1318,5
1319,1
1320,1
1321,1
1322,2
1323,2
1324,3
1325,1
1326,2
1327,1
1328,1
1329,1
1330,1
1331,1
1332,2
1333,1
1334,1
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,1
1343,1
1344,1
1345,6
1346,2
1347,1
1348,1
1349,1
1350,1
1351,5
1352,1
1353,2
1354,1
1355,1
1356,1
1357,1
1358,1
1359,1
1360,2
1361,1
1362,1
1363,2
1364,1
1365,1
1366,1
1367,1
1368,1
1369,1
1370,1
1371,1
1372,1
1373,2
1374,1
1375,2
1376,1
1377,1
1378,1
1379,1
1380,1
1381,1
1382,1
1383,4
1384,1
1385,1
1386,4
1387,1
1388,1
1389,3
1390,1
1391,1
1392,1
1393,1
1394,4
1395,5
1396,1
1397,1
1398,2
1399,1
1400,1
1401,1
1402,1
1403,1
1404,1
1405,1
1406,1
1407,1
1408,2
1409,1
1410,1
1411,1
1412,1
1413,1
1414,2
1415,1
1416,2
1417,1
1418,2
1419,1
1420,1
1421,1
1422,1
1423,1
1424,2
1425,1
1426,3
1427,1
1428,1
1429,1
1430,1
1431,1
1432,2
1433,1
1434,1
1435,2
1436,2
1437,2
1438,2
1439,2
1440,2
1441,2
1442,1
1443,2
1444,1
1445,1
1446,1
1447,1
1448,1
1449,1
1450,1
1451,1
1452,2
1453,1
1454,2
1455,1
1456,1
1457,1
1458,1
1459,1
1460,2
1461,1
1462,1
1463,2
1464,2
1465,1
1466,1
1467,1
1468,1
1469,1
1470,2
1471,1
1472,1
1473,1
1474,1
1475,2
1476,1
1477,1
1478,1
1479,3
1480,1
1481,1
1482,1
1483,1
1484,1
1485,2
1486,2
1487,1
1488,1
1489,1
1490,1
1491,4
1492,2
1493,1
1494,1
1495,4
1496,4
1497,2
1498,1
1499,1
1500,1
1501,1
1502,5
1503,2
1504,3
1505,1
1506,1
1507,1
1508,2
1509,1
1510,2
1511,2
1512,2
1513,2
1514,1
1515,2
1516,1
1517,1
1518,4
1519,2
1520,1
1521,1
1522,2
1523,1
1524,3
1525,1
1526,1
1527,3
1528,1
1529,1
1530,1
1531,2
1532,2
1533,4
1534,2
1535,1
1536,1
1537,1
1538,1
1539,1
1540,2
1541,1
1542,2
1543,1
1544,1
1545,1
1546,2
1547,2
1548,2
1549,1
1550,1
1551,1
1552,1
1553,1
1554,1
1555,3
1556,2
1557,2
1558,1
1559,2
1560,1
1561,2
1562,1
1563,1
1564,2
1565,5
1566,1
1567,1
1568,1
1569,2
1570,2
1571,1
1572,2
1573,2
1574,2
1575,4
1576,1
1577,1
1578,4
1579,1
1580,1
1581,4
1582,1
1583,1
1584,1
1585,3
1586,3
1587,1
1588,1
1589,1
1590,2
1591,1
1592,1
1593,1
1594,2
1595,1
1596,1
1597,1
1598,1
1599,1
1600,2
1601,2
1602,1
1603,1
1604,1
1605,2
1606,1
1607,2
1608,3
1609,1
1610,1
1611,2
1612,4
1613,2
1614,2
1615,1
1616,1
1617,1
1618,4
1619,2
1620,4
1621,1
1622,2
1623,1
1624,1
1625,1
1626,2
1627,1
1628,1
1629,4
1630,5
1631,2
1632,1
1633,2
1634,1
1635,2
1636,1
1637,1
1638,1
1639,4
1640,4
1641,1
1642,2
1643,1
1644,1
1645,1
1646,1
1647,2
1648,6
1649,2
1650,1
1651,1
1652,1
1653,1
1654,1
1655,1
1656,1
1657,1
1658,1
1659,2
1660,2
1661,1
1662,1
1663,1
1664,1
1665,1
1666,1
1667,2
1668,2
1669,1
1670,1
1671,2
1672,1
1673,6
1674,2
1675,1
1676,1
1677,1
1678,1
1679,1
1680,4
1681,6
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,1
1690,2
1691,4
1692,4
1693,1
1694,2
1695,1
1696,1
1697,1
1698,1
1699,1
1700,2
1701,6
1702,1
1703,2
1704,2
1705,1
1706,1
1707,1
1708,2
1709,1
1710,1
1711,2
1712,2
1713,2
1714,2
1715,1
1716,1
1717,2
1718,1
1719,2
1720,1
1721,2
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,1
1729,1
1730,2
1731,2
1732,2
1733,4
1734,1
1735,1
1736,1
1737,1
1738,1
1739,1
1740,1
1741,1
1742,1
1743,1
1744,2
1745,1
1746,1
1747,1
1748,2
1749,2
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,1
1758,1
1759,1
1760,1
1761,1
1762,1
1763,2
1764,1
1765,1
1766,1
1767,1
1768,1
1769,1
1770,1
1771,1
1772,1
1773,1
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,6
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,1
1790,1
1791,1
1792,1
1793,1
1794,1
1795,1
1796,2
1797,1
1798,2
1799,2
1800,2
1801,2
1802,2
1803,2
1804,2
1805,4
1806,2
1807,1
1808,2
1809,1
1810,2
1811,1
1812,1
1813,1
1814,1
1815,1
1816,2
1817,2
1818,2
1819,1
1820,2
1821,1
1822,2
1823,1
1824,1
1825,1
1826,2
1827,4
1828,1
1829,2
1830,2
1831,1
1832,2
1833,1
1834,2
1835,1
1836,1
1837,1
1838,1
1839,1
1840,4
1841,2
1842,1
1843,2
1844,2
1845,1
1846,1
1847,2
1848,1
1849,1
1850,1
1851,1
1852,1
1853,1
1854,1
1855,1
1856,1
1857,2
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,1
1865,5
1866,2
1867,1
1868,1
1869,1
1870,1
1871,1
1872,1
1873,1
1874,1
1875,1
1876,1
1877,1
1878,1
1879,1
1880,1
1881,1
1882,1
1883,2
1884,1
1885,2
1886,1
1887,1
1888,1
1889,4
1890,1
1891,1
1892,1
1893,1
1894,1
1895,1
1896,2
1897,2
1898,1
1899,1
1900,1
1901,1
1902,1
1903,1
1904,4
1905,2
1906,2
1907,1
1908,1
1909,1
1910,1
1911,4
1912,1
1913,1
1914,1
1915,1
1916,1
1917,1
1918,1
1919,2
1920,2
1921,2
1922,1
1923,1
1924,1
1925,1
1926,1
1927,1
1928,1
1929,1
1930,1
1931,2
1932,2
1933,6
1934,1
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,2
1944,2
1945,4
1946,2
1947,1
1948,1
1949,6
1950,4
1951,1
1952,1
1953,1
1954,2
1955,1
1956,1
1957,1
1958,1
1959,1
1960,1
1961,1
1962,1
1963,2
1964,1
1965,1
1966,1
1967,1
1968,1
1969,2
1970,2
1971,2
1972,1
1973,1
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,2
1982,2
1983,2
1984,1
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,1
1993,1
1994,1
1995,1
1996,1
1997,1
1998,1
1999,2
2000,1
2001,4
2002,1
2003,1
2004,1
2005,1
2006,1
2007,1
2008,1
2009,1
2010,1
2011,1
2012,1
2013,1
2014,1
2015,1
2016,1
2017,1
2018,2
2019,2
2020,2
2021,1
2022,3
2023,1
2024,1
2025,2
2026,2
2027,2
2028,4
2029,2
2030,1
2031,1
2032,1
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,3
2040,6
2041,1
2042,1
2043,5
2044,1
2045,1
2046,1
2047,2
2048,1
2049,2
2050,1
2051,1
2052,1
2053,2
2054,1
2055,2
2056,1
2057,1
2058,1
2059,1
2060,1
2061,1
2062,1
2063,1
2064,1
2065,1
2066,1
2067,1
2068,1
2069,1
2070,2
2071,1
2072,2
2073,2
2074,1
2075,2
2076,2
2077,2
2078,2
2079,2
2080,2
2081,2
2082,2
2083,1
2084,1
2085,1
2086,1
2087,1
2088,1
2089,6
2090,2
2091,1
2092,1
2093,1
2094,1
2095,1
2096,2
2097,1
2098,1
2099,1
2100,1
2101,1
2102,1
2103,2
2104,2
2105,2
2106,1
2107,1
2108,4
2109,1
2110,1
2111,1
2112,2
2113,1
2114,1
2115,2
2116,3
2117,2
2118,5
2119,1
2120,1
2121,1
2122,1
2123,1
2124,1
2125,2
2126,1
2127,1
2128,2
2129,1
2130,1
2131,1
2132,1
2133,1
2134,1
2135,1
2136,2
2137,1
2138,1
2139,1
2140,2
2141,2
2142,1
2143,1
2144,1
2145,1
2146,1
2147,2
2148,1
2149,4
2150,1
2151,3
2152,1
2153,4
2154,1
2155,1
2156,1
2157,1
2158,1
2159,1
2160,1
2161,2
2162,1
2163,1
2164,1
2165,1
2166,2
2167,1
2168,2
2169,2
2170,1
2171,2
2172,2
2173,1
2174,1
2175,2
2176,1
2177,1
2178,1
2179,2
2180,1
2181,1
2182,1
2183,1
2184,1
2185,1
2186,1
2187,2
2188,1
2189,1
2190,1
2191,2
2192,1
2193,2
2194,4
2195,2
2196,2
2197,1
2198,1
2199,2
2200,2
2201,4
2202,1
2203,1
2204,1
2205,1
2206,1
2207,1
2208,1
2209,1
2210,4
2211,2
2212,2
2213,2
2214,2
2215,1
2216,1
2217,2
2218,1
2219,1
2220,1
2221,1
2222,1
2223,1
2224,1
2225,2
2226,1
2227,1
2228,1
2229,2
2230,1
2231,1
2232,1
2233,2
2234,2
2235,1
2236,2
2237,1
2238,1
2239,1
2240,1
2241,1
2242,2
2243,1
2244,1
2245,1
2246,1
2247,1
2248,1
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,1
2257,1
2258,1
2259,1
2260,2
2261,2
2262,2
2263,1
2264,1
2265,1
2266,1
2267,1
2268,1
2269,1
2270,1
2271,1
2272,1
2273,1
2274,1
2275,1
2276,1
2277,1
2278,2
2279,1
2280,1
2281,1
2282,1
2283,1
2284,1
2285,1
2286,1
2287,1
2288,1
2289,1
2290,1
2291,2
2292,1
2293,1
2294,1
2295,1
2296,2
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,1
2304,1
2305,1
2306,1
2307,1
2308,1
2309,1
2310,1
2311,1
2312,1
2313,1
2314,1
2315,1
2316,1
2317,1
2318,2
2319,1
2320,1
2321,1
2322,2
2323,1
2324,1
2325,1
2326,1
2327,1
2328,6
2329,1
2330,1
2331,2
2332,6
2333,1
2334,1
2335,1
2336,1
2337,1
2338,1
2339,1
2340,1
2341,1
2342,2
2343,1
2344,1
2345,1
2346,1
2347,1
2348,1
2349,1
2350,1
2351,1
2352,1
2353,1
2354,4
2355,1
2356,1
2357,1
2358,1
2359,1
2360,1
2361,4
2362,1
2363,1
2364,1
2365,1
2366,1
2367,1
2368,1
2369,1
2370,2
2371,2
2372,1
2373,1
2374,2
2375,1
2376,2
2377,1
2378,1
2379,1
2380,1
2381,1
2382,1
2383,1
2384,1
2385,2
2386,1
2387,1
2388,1
2389,2
2390,2
2391,1
2392,2
2393,1
2394,1
2395,1
2396,1
2397,1
2398,1
2399,1
2400,1
2401,1
2402,1
2403,1
2404,1
2405,4
2406,2
2407,1
2408,1
2409,1
2410,1
2411,1
2412,1
2413,1
2414,1
2415,1
2416,1
2417,1
2418,1
2419,1
2420,1
2421,1
2422,1
2423,1
2424,1
2425,1
2426,1
2427,1
2428,1
2429,1
2430,1
2431,2
2432,1
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,1
2440,1
2441,1
2442,1
2443,1
2444,2
2445,1
2446,1
2447,2
2448,1
2449,1
2450,1
2451,1
2452,1
2453,1
2454,1
2455,1
2456,1
2457,1
2458,1
2459,1
2460,2
2461,2
2462,2
2463,2
2464,2
2465,2
2466,2
2467,2
2468,2
2469,2
2470,1
2471,2
2472,1
2473,2
2474,1
2475,2
2476,1
2477,1
2478,1
2479,1
2480,1
2481,1
2482,1
2483,1
2484,1
2485,1
2486,1
2487,1
2488,1
2489,1
2490,1
2491,1
2492,2
2493,1
2494,1
2495,1
2496,1
2497,2
2498,1
2499,2
2500,1
2501,1
2502,1
2503,1
2504,1
2505,1
2506,1
2507,1
2508,1
2509,1
2510,1
2511,1
2512,1
2513,2
2514,1
2515,1
2516,1
2517,2
2518,1
2519,2
2520,1
2521,1
2522,1
2523,1
2524,1
2525,2
2526,1
2527,1
2528,2
2529,1
2530,1
2531,1
2532,4
2533,1
2534,1
2535,2
2536,1
2537,1
2538,1
2539,1
2540,1
2541,1
2542,1
2543,1
2544,1
2545,1
2546,1
2547,1
2548,1
2549,1
2550,5
2551,1
2552,1
2553,2
2554,3
2555,1
2556,1
2557,1
2558,1
2559,1
2560,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,1
2567,1
2568,1
2569,1
2570,1
2571,1
2572,1
2573,1
2574,1
2575,1
2576,1
2577,1
2578,2
2579,2
2580,1
2581,1
2582,2
2583,1
2584,2
2585,2
2586,1
2587,1
2588,1
2589,1
2590,1
2591,1
2592,1
2593,1
2594,1
2595,1
2596,1
2597,1
2598,2
2599,1
2600,1
2601,1
2602,1
2603,2
2604,1
2605,1
2606,1
2607,1
2608,1
2609,1
2610,6
2611,1
2612,2
2613,1
2614,1
2615,1
2616,1
2617,1
2618,1
2619,1
2620,1
2621,1
2622,1
2623,1
2624,1
2625,1
2626,1
2627,1
2628,6
2629,2
2630,1
2631,1
2632,1
2633,1
2634,2
2635,1
2636,1
2637,1
2638,2
2639,2
2640,5
2641,1
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,1
2649,1
2650,1
2651,1
2652,2
2653,1
2654,1
2655,1
2656,1
2657,2
2658,2
2659,2
2660,1
2661,1
2662,1
2663,1
2664,1
2665,1
2666,1
2667,1
2668,1
2669,1
2670,2
2671,1
2672,1
2673,1
2674,1
2675,1
2676,2
2677,3
2678,1
2679,1
2680,1
2681,1
2682,1
2683,2
2684,1
2685,1
2686,1
2687,1
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,2
2698,1
2699,1
2700,1
2701,1
2702,1
2703,1
2704,1
2705,2
2706,1
2707,1
2708,1
2709,1
2710,2
2711,1
2712,1
2713,1
2714,1
2715,1
2716,1
2717,1
2718,1
2719,2
2720,1
2721,1
2722,1
2723,2
2724,2
2725,1
2726,2
2727,2
2728,1
2729,1
2730,1
2731,1
2732,1
2733,1
2734,1
2735,1
2736,1
2737,1
2738,1
2739,1
2740,1
2741,1
2742,1
2743,1
2744,3
2745,1
2746,1
2747,6
2748,1
2749,2
2750,1
2751,1
2752,1
2753,1
2754,1
2755,2
2756,1
2757,2
2758,1
2759,5
2760,1
2761,1
2762,1
2763,1
2764,2
2765,1
2766,1
2767,1
2768,6
2769,2
2770,2
2771,1
2772,1
2773,1
2774,1
2775,1
2776,1
2777,6
2778,1
2779,1
2780,2
2781,2
2782,1
2783,1
2784,5
2785,1
2786,1
2787,1
2788,2
2789,3
2790,1
2791,1
2792,1
2793,1
2794,1
2795,4
2796,3
2797,1
2798,1
2799,1
2800,1
2801,4
2802,1
2803,1
2804,2
2805,2
2806,1
2807,1
2808,1
2809,1
2810,2
2811,6
2812,2
2813,2
2814,1
2815,2
2816,2
2817,1
2818,1
2819,2
2820,2
2821,2
2822,2
2823,2
2824,2
2825,2
2826,2
2827,2
2828,1
2829,2
2830,2
2831,1
2832,2
2833,2
2834,1
2835,1
2836,1
2837,2
2838,2
2839,2
2840,1
2841,1
2842,1
2843,2
2844,2
2845,6
2846,2
2847,1
2848,1
2849,1
2850,1
2851,1
2852,6
2853,5
2854,1
2855,1
2856,1
2857,1
2858,1
2859,1
2860,1
2861,1
2862,1
2863,1
2864,1
2865,1
2866,1
2867,1
2868,1
2869,1
2870,1
2871,1
2872,1
2873,1
2874,3
2875,1
2876,1
2877,4
2878,2
2879,1
2880,1
2881,2
2882,1
2883,1
2884,1
2885,2
2886,1
2887,2
2888,2
2889,2
2890,1
2891,1
2892,1
2893,1
2894,2
2895,2
2896,3
2897,2
2898,1
2899,2
2900,2
2901,1
2902,1
2903,1
2904,1
2905,1
2906,1
2907,2
2908,2
2909,1
2910,1
2911,1
2912,1
2913,1
2914,2
2915,1
2916,2
2917,3
2918,2
2919,2
2920,1
2921,1
2922,5
2923,1
2924,2
2925,1
2926,2
2927,1
2928,4
2929,1
2930,1
2931,2
2932,1
2933,1
2934,2
2935,4
2936,1
2937,1
2938,1
2939,1
2940,1
2941,1
2942,1
2943,1
2944,1
2945,1
2946,5
2947,1
2948,1
2949,2
2950,2
2951,1
2952,2
2953,2
2954,1
2955,1
2956,1
2957,2
2958,3
2959,2
2960,2
2961,1
2962,5
2963,1
2964,2
2965,1
2966,1
2967,1
2968,4
2969,2
2970,5
2971,6
2972,5
2973,1
2974,1
2975,1
2976,1
2977,2
2978,2
2979,1
2980,2
2981,1
2982,1
2983,1
2984,1
2985,1
2986,2
2987,2
2988,5
2989,1
2990,2
2991,2
2992,2
2993,1
2994,2
2995,2
2996,1
2997,1
